index,close_time,transaction_id,positions,BTCUSDT_units,LUNCUSDT_units,entry_BTCUSDT_price,entry_LUNCUSDT_price,historical_BTCUSDT_mid,historical_LUNCUSDT_mid,historical_BTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,BTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,BTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
3162.0,2023-01-22 21:05:59.999,1.0,,0.0,0.0,,,22473.515,0.000178255,129.47642,142071431.85,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3163.0,2023-01-22 21:06:59.999,1.0,,0.0,0.0,,,22446.815,0.000178105,281.7538,170791023.22,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3164.0,2023-01-22 21:07:59.999,1.0,,0.0,0.0,,,22418.635,0.000177765,370.61099,73014799.23,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3165.0,2023-01-22 21:08:59.999,1.0,,0.0,0.0,,,22396.45,0.0001774449999999,353.34067,168287193.87,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3166.0,2023-01-22 21:09:59.999,1.0,,0.0,0.0,,,22380.84,0.000176815,309.68296,251297709.92,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3167.0,2023-01-22 21:10:59.999,1.0,,0.0,0.0,,,22417.06,0.000176855,332.80512,112908796.74,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3168.0,2023-01-22 21:11:59.999,1.0,,0.0,0.0,,,22433.315,0.0001770799999999,194.69903,99051135.45,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3169.0,2023-01-22 21:12:59.999,1.0,,0.0,0.0,,,22413.575,0.0001768,246.41083,261011925.2,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3170.0,2023-01-22 21:13:59.999,1.0,,0.0,0.0,,,22377.18,0.0001766149999999,322.5859,148976502.92,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3171.0,2023-01-22 21:14:59.999,1.0,,0.0,0.0,,,22394.125,0.00017675,388.79108,160892931.35,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3172.0,2023-01-22 21:15:59.999,1.0,,0.0,0.0,,,22414.44,0.000177205,266.31981,92744253.15,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3173.0,2023-01-22 21:16:59.999,1.0,,0.0,0.0,,,22425.695,0.0001774,269.90181,156925075.33,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3174.0,2023-01-22 21:17:59.999,1.0,,0.0,0.0,,,22406.965,0.000177235,291.98518,115058593.72,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3175.0,2023-01-22 21:18:59.999,1.0,,0.0,0.0,,,22381.695,0.000176995,363.39169,48905565.7,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3176.0,2023-01-22 21:19:59.999,1.0,,0.0,0.0,,,22360.425000000003,0.0001767049999999,528.70611,139470618.77,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3177.0,2023-01-22 21:20:59.999,1.0,,0.0,0.0,,,22342.64,0.00017669,405.00259,114730732.04,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3178.0,2023-01-22 21:21:59.999,1.0,,0.0,0.0,,,22374.13,0.0001769,312.78987,93375168.72,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3179.0,2023-01-22 21:22:59.999,1.0,,0.0,0.0,,,22377.89,0.00017692,228.38897,34942720.32,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3180.0,2023-01-22 21:23:59.999,1.0,,0.0,0.0,,,22395.82,0.00017709,287.23177,71489647.44,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3181.0,2023-01-22 21:24:59.999,1.0,,0.0,0.0,,,22432.805,0.000177345,363.27969,35971430.89,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3182.0,2023-01-22 21:25:59.999,1.0,,0.0,0.0,,,22438.81,0.000177535,314.55545,51688337.17,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3183.0,2023-01-22 21:26:59.999,1.0,,0.0,0.0,,,22417.04,0.000177425,180.03105,41935209.57,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3184.0,2023-01-22 21:27:59.999,1.0,,0.0,0.0,,,22413.41,0.00017741,190.79822,39679015.36,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3185.0,2023-01-22 21:28:59.999,1.0,,0.0,0.0,,,22417.275,0.000177705,212.61008,76963245.21,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3186.0,2023-01-22 21:29:59.999,1.0,,0.0,0.0,,,22439.6,0.000178115,231.74445,90055817.7,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3187.0,2023-01-22 21:30:59.999,1.0,,0.0,0.0,,,22454.55,0.00017837,363.4564,224847619.41,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3188.0,2023-01-22 21:31:59.999,1.0,,0.0,0.0,,,22466.13,0.000178575,230.90924,67326897.81,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3189.0,2023-01-22 21:32:59.999,1.0,,0.0,0.0,,,22491.92,0.0001787399999999,490.65557,119918373.77,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3190.0,2023-01-22 21:33:59.999,1.0,,0.0,0.0,,,22513.965,0.00017892,426.89961,264531908.77,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
