index,close_time,transaction_id,positions,LUNCUSDT_units,ATOMUSDT_units,entry_LUNCUSDT_price,entry_ATOMUSDT_price,historical_LUNCUSDT_mid,historical_ATOMUSDT_mid,historical_LUNCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LUNCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LUNCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1155.0,2023-01-21 07:07:59.999,,,0.0,0.0,,,0.000180565,13.3715,75938403.29,199.44,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1156.0,2023-01-21 07:08:59.999,,,0.0,0.0,,,0.00018044,13.368,121147499.53,260.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1157.0,2023-01-21 07:09:59.999,,,0.0,0.0,,,0.00018053,13.376,133059885.7,929.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1158.0,2023-01-21 07:10:59.999,,,0.0,0.0,,,0.00018064,13.3705,26562020.04,526.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1159.0,2023-01-21 07:11:59.999,,,0.0,0.0,,,0.00018051,13.363,33515355.19,121.24,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1160.0,2023-01-21 07:12:59.999,,,0.0,0.0,,,0.00018059,13.364,80665208.51,85.21,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1161.0,2023-01-21 07:13:59.999,,,0.0,0.0,,,0.00018048,13.367,44558935.82,965.81,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1162.0,2023-01-21 07:14:59.999,,,0.0,0.0,,,0.00018056,13.369,178277779.73,751.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1163.0,2023-01-21 07:15:59.999,,,0.0,0.0,,,0.000180445,13.3625,44170543.31,852.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1164.0,2023-01-21 07:16:59.999,,,0.0,0.0,,,0.000180445,13.355,50281439.89,393.21,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1165.0,2023-01-21 07:17:59.999,,,0.0,0.0,,,0.0001803,13.349,58248793.41,453.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1166.0,2023-01-21 07:18:59.999,,,0.0,0.0,,,0.00018024,13.346,60557143.74,196.91,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1167.0,2023-01-21 07:19:59.999,,,0.0,0.0,,,0.000180215,13.349,54276357.86,578.88,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1168.0,2023-01-21 07:20:59.999,,,0.0,0.0,,,0.000180235,13.35,92159189.08,385.24,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1169.0,2023-01-21 07:21:59.999,,,0.0,0.0,,,0.0001803099999999,13.351,154898740.66,528.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1170.0,2023-01-21 07:22:59.999,,,0.0,0.0,,,0.000180295,13.35,82752422.71,345.31,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1171.0,2023-01-21 07:23:59.999,,,0.0,0.0,,,0.00018054,13.3535,315060017.13,822.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1172.0,2023-01-21 07:24:59.999,,,0.0,0.0,,,0.000180525,13.3555,91635825.72,295.21,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1173.0,2023-01-21 07:25:59.999,,,0.0,0.0,,,0.000180595,13.348,25702082.08,1437.87,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1174.0,2023-01-21 07:26:59.999,,,0.0,0.0,,,0.000180825,13.3525,32263510.27,1446.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1175.0,2023-01-21 07:27:59.999,,,0.0,0.0,,,0.0001807849999999,13.351,64340127.07,1112.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1176.0,2023-01-21 07:28:59.999,,,0.0,0.0,,,0.000180765,13.335,63106003.48,677.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1177.0,2023-01-21 07:29:59.999,,,0.0,0.0,,,0.00018082,13.331,52473868.21,222.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1178.0,2023-01-21 07:30:59.999,,,0.0,0.0,,,0.000180665,13.323,21534985.64,391.41,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1179.0,2023-01-21 07:31:59.999,,,0.0,0.0,,,0.000180535,13.3175,30913567.34,1647.96,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1180.0,2023-01-21 07:32:59.999,,,0.0,0.0,,,0.0001805,13.3135,34775272.01,1364.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1181.0,2023-01-21 07:33:59.999,,,0.0,0.0,,,0.0001804849999999,13.307,66298914.93,1115.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
