index,close_time,transaction_id,positions,ETHUSDT_units,MATICUSDT_units,entry_ETHUSDT_price,entry_MATICUSDT_price,historical_ETHUSDT_mid,historical_MATICUSDT_mid,historical_ETHUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,MATICUSDT_raw_pnl,ETHUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
938.0,2023-01-21 08:21:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.525,1.0227499999999998,217.3943,37689.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
939.0,2023-01-21 08:22:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.08,1.0224,77.2028,32113.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
940.0,2023-01-21 08:23:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.2199999999998,1.02235,39.7278,6027.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
941.0,2023-01-21 08:24:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.83,1.0222,105.5921,56209.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
942.0,2023-01-21 08:25:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.835,1.0219,59.1441,34669.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
943.0,2023-01-21 08:26:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.025,1.02095,125.2522,86608.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
944.0,2023-01-21 08:27:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.95,1.02015,66.0437,96639.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
945.0,2023-01-21 08:28:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.79,1.01955,95.8691,38523.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
946.0,2023-01-21 08:29:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.425,1.0185,224.9671,83628.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
947.0,2023-01-21 08:30:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.44,1.01795,83.9556,91076.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
948.0,2023-01-21 08:31:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.8049999999998,1.01895,88.1668,18121.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
949.0,2023-01-21 08:32:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.0549999999998,1.01925,81.7055,22800.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
950.0,2023-01-21 08:33:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.895,1.0194,117.692,21860.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
951.0,2023-01-21 08:34:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.92,1.01925,206.8053,33470.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
952.0,2023-01-21 08:35:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.99,1.01945,196.9549,17595.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
