index,close_time,transaction_id,positions,XRPUSDT_units,ATOMUSDT_units,entry_XRPUSDT_price,entry_ATOMUSDT_price,historical_XRPUSDT_mid,historical_ATOMUSDT_mid,historical_XRPUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,ATOMUSDT_raw_pnl,XRPUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
87.0,2023-01-20 18:25:59.999,,,0.0,0.0,,,0.3959,12.668,132601.0,757.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
88.0,2023-01-20 18:26:59.999,,,0.0,0.0,,,0.3961,12.6795,139573.0,1159.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
89.0,2023-01-20 18:27:59.999,,,0.0,0.0,,,0.3962,12.68,95716.0,166.99,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
90.0,2023-01-20 18:28:59.999,,,0.0,0.0,,,0.3961,12.6695,140464.0,737.05,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
91.0,2023-01-20 18:29:59.999,,,0.0,0.0,,,0.39625,12.6715,78580.0,743.33,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
92.0,2023-01-20 18:30:59.999,,,0.0,0.0,,,0.39615,12.6845,186539.0,1682.22,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
93.0,2023-01-20 18:31:59.999,,,0.0,0.0,,,0.3964,12.714,154059.0,1716.17,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
94.0,2023-01-20 18:32:59.999,,,0.0,0.0,,,0.3967,12.7385,300950.0,2139.01,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
95.0,2023-01-20 18:33:59.999,,,0.0,0.0,,,0.39695,12.742,94280.0,37449.01,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
96.0,2023-01-20 18:34:59.999,,,0.0,0.0,,,0.3971,12.7315,118225.0,8897.03,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
97.0,2023-01-20 18:35:59.999,,,0.0,0.0,,,0.39725,12.732,232129.0,3589.77,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
98.0,2023-01-20 18:36:59.999,,,0.0,0.0,,,0.39735,12.7315,81873.0,1559.09,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
99.0,2023-01-20 18:37:59.999,,,0.0,0.0,,,0.3975499999999999,12.738499999999998,148266.0,767.82,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
100.0,2023-01-20 18:38:59.999,,,0.0,0.0,,,0.3977,12.7385,188677.0,1795.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
101.0,2023-01-20 18:39:59.999,,,0.0,0.0,,,0.39775,12.734,171963.0,2651.65,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
102.0,2023-01-20 18:40:59.999,,,0.0,0.0,,,0.3979,12.7395,199610.0,977.58,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
103.0,2023-01-20 18:41:59.999,,,0.0,0.0,,,0.39785,12.7405,118962.0,3635.29,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
104.0,2023-01-20 18:42:59.999,,,0.0,0.0,,,0.39795,12.7455,186395.0,1178.56,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
105.0,2023-01-20 18:43:59.999,,,0.0,0.0,,,0.3981,12.759,111053.0,3433.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
106.0,2023-01-20 18:44:59.999,,,0.0,0.0,,,0.3981,12.7445,267251.0,649.52,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
107.0,2023-01-20 18:45:59.999,,,0.0,0.0,,,0.39785,12.7375,168612.0,741.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
108.0,2023-01-20 18:46:59.999,,,0.0,0.0,,,0.39765,12.7325,62700.0,542.18,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
109.0,2023-01-20 18:47:59.999,,,0.0,0.0,,,0.3975499999999999,12.739,83048.0,1688.94,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
110.0,2023-01-20 18:48:59.999,,,0.0,0.0,,,0.3974999999999999,12.7455,112202.0,844.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
111.0,2023-01-20 18:49:59.999,,,0.0,0.0,,,0.3977,12.7545,80846.0,998.33,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
112.0,2023-01-20 18:50:59.999,,,0.0,0.0,,,0.3978,12.7565,170477.0,669.49,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
113.0,2023-01-20 18:51:59.999,,,0.0,0.0,,,0.3974999999999999,12.746,193016.0,375.91,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
114.0,2023-01-20 18:52:59.999,,,0.0,0.0,,,0.3973,12.7545,166406.0,2820.62,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
115.0,2023-01-20 18:53:59.999,,,0.0,0.0,,,0.3974,12.762,58975.0,325.64,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
116.0,2023-01-20 18:54:59.999,,,0.0,0.0,,,0.3974499999999999,12.754,92011.0,2272.76,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
117.0,2023-01-20 18:55:59.999,,,0.0,0.0,,,0.39735,12.741,144132.0,757.81,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
118.0,2023-01-20 18:56:59.999,,,0.0,0.0,,,0.3973,12.731,114710.0,565.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
119.0,2023-01-20 18:57:59.999,,,0.0,0.0,,,0.3973,12.738,104992.0,972.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
