index,close_time,transaction_id,positions,NEARUSDT_units,LUNCUSDT_units,entry_NEARUSDT_price,entry_LUNCUSDT_price,historical_NEARUSDT_mid,historical_LUNCUSDT_mid,historical_NEARUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,LUNCUSDT_raw_pnl,NEARUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1233.0,2023-01-21 10:44:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3725,0.000177315,11274.9,141703461.87,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1234.0,2023-01-21 10:45:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3735,0.00017746,26335.5,138721117.32,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1235.0,2023-01-21 10:46:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.375,0.00017795,7685.7,88632871.8,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1236.0,2023-01-21 10:47:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3745000000000003,0.000178145,7547.6,114452248.53,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1237.0,2023-01-21 10:48:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3675,0.00017804,36204.8,183381506.02,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1238.0,2023-01-21 10:49:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.357,0.000177425,27445.7,175967804.75,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1239.0,2023-01-21 10:50:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3520000000000003,0.000177035,33467.5,223333225.53,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1240.0,2023-01-21 10:51:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3475,0.000176465,32445.7,287012117.84,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1241.0,2023-01-21 10:52:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3520000000000003,0.0001769149999999,15291.5,73669416.4,1.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1242.0,2023-01-21 10:53:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3520000000000003,0.00017695,22787.5,94628985.04,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1243.0,2023-01-21 10:54:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3535,0.00017703,11510.2,42717119.97,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1244.0,2023-01-21 10:55:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.354,0.000177305,15132.9,86866936.26,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1245.0,2023-01-21 10:56:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3485,0.00017741,6967.6,37788743.18,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1246.0,2023-01-21 10:57:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3485,0.000177355,12164.2,54725093.59,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1247.0,2023-01-21 10:58:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.351,0.000177345,5476.9,26527879.81,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1248.0,2023-01-21 10:59:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.353,0.000177465,4205.5,120335386.02,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
