index,close_time,transaction_id,positions,SANDUSDT_units,DOTUSDT_units,entry_SANDUSDT_price,entry_DOTUSDT_price,historical_SANDUSDT_mid,historical_DOTUSDT_mid,historical_SANDUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,DOTUSDT_raw_pnl,SANDUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2619.0,2023-01-22 10:47:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7999499999999999,6.2795000000000005,18265.0,1428.57,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2620.0,2023-01-22 10:48:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8003,6.2825,7616.0,1052.23,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2621.0,2023-01-22 10:49:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8008500000000001,6.288,22855.0,1547.31,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2622.0,2023-01-22 10:50:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8015,6.286,16626.0,513.12,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2623.0,2023-01-22 10:51:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8022,6.2905,29422.0,5622.68,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2624.0,2023-01-22 10:52:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8024,6.2940000000000005,4870.0,524.98,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2625.0,2023-01-22 10:53:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8022499999999999,6.29,7567.0,11500.43,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2626.0,2023-01-22 10:54:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80155,6.2885,11165.0,2395.55,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2627.0,2023-01-22 10:55:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8024,6.2915,8339.0,2537.07,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2628.0,2023-01-22 10:56:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8024,6.292,7864.0,215.95,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2629.0,2023-01-22 10:57:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80255,6.2925,8602.0,804.6,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2630.0,2023-01-22 10:58:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8023499999999999,6.2975,8736.0,2079.46,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2631.0,2023-01-22 10:59:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80145,6.2935,23764.0,1324.07,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2632.0,2023-01-22 11:00:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8027500000000001,6.2940000000000005,10093.0,1517.0,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2633.0,2023-01-22 11:01:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8026,6.2895,6099.0,1093.97,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2634.0,2023-01-22 11:02:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80165,6.286,3579.0,332.32,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2635.0,2023-01-22 11:03:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80125,6.283,7836.0,2006.12,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2636.0,2023-01-22 11:04:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.80145,6.285,2816.0,6592.92,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2637.0,2023-01-22 11:05:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8019000000000001,6.2905,7183.0,3111.6,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2638.0,2023-01-22 11:06:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8015,6.291,8619.0,4981.01,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
