index,close_time,transaction_id,positions,XRPUSDT_units,SANDUSDT_units,entry_XRPUSDT_price,entry_SANDUSDT_price,historical_XRPUSDT_mid,historical_SANDUSDT_mid,historical_XRPUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,SANDUSDT_raw_pnl,XRPUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2710.0,2023-01-22 14:08:59.999,3.0,,0.0,0.0,,,0.4062,0.8141,140126.0,15648.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2711.0,2023-01-22 14:09:59.999,3.0,,0.0,0.0,,,0.40605,0.8129,104451.0,10071.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2712.0,2023-01-22 14:10:59.999,3.0,,0.0,0.0,,,0.4063,0.8144,158434.0,12844.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2713.0,2023-01-22 14:11:59.999,3.0,,0.0,0.0,,,0.4064,0.81455,61611.0,19146.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2714.0,2023-01-22 14:12:59.999,3.0,,0.0,0.0,,,0.4062,0.8150999999999999,169828.0,12106.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2715.0,2023-01-22 14:13:59.999,3.0,,0.0,0.0,,,0.406,0.815,92939.0,10929.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2716.0,2023-01-22 14:14:59.999,3.0,,0.0,0.0,,,0.4059,0.81785,35463.0,116138.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2717.0,2023-01-22 14:15:59.999,3.0,,0.0,0.0,,,0.4058,0.8209500000000001,87485.0,119318.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2718.0,2023-01-22 14:16:59.999,3.0,,0.0,0.0,,,0.40595,0.8231999999999999,253357.0,62410.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2719.0,2023-01-22 14:17:59.999,3.0,,0.0,0.0,,,0.40595,0.8232,81722.0,43707.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2720.0,2023-01-22 14:18:59.999,3.0,,0.0,0.0,,,0.4057,0.8221,91604.0,115750.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2721.0,2023-01-22 14:19:59.999,3.0,,0.0,0.0,,,0.40585,0.82365,147293.0,59213.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2722.0,2023-01-22 14:20:59.999,3.0,,0.0,0.0,,,0.40595,0.82275,192525.0,40157.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2723.0,2023-01-22 14:21:59.999,3.0,,0.0,0.0,,,0.4061,0.8213999999999999,230544.0,41271.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2724.0,2023-01-22 14:22:59.999,3.0,,0.0,0.0,,,0.4063,0.8208,80252.0,20867.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2725.0,2023-01-22 14:23:59.999,3.0,,0.0,0.0,,,0.4065,0.82045,95866.0,16125.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2726.0,2023-01-22 14:24:59.999,3.0,,0.0,0.0,,,0.40675,0.82075,297103.0,24436.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2727.0,2023-01-22 14:25:59.999,3.0,,0.0,0.0,,,0.4067499999999999,0.82075,187792.0,30961.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2728.0,2023-01-22 14:26:59.999,3.0,,0.0,0.0,,,0.407,0.82235,256116.0,25020.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2729.0,2023-01-22 14:27:59.999,3.0,,0.0,0.0,,,0.4065999999999999,0.8219,395774.0,24758.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2730.0,2023-01-22 14:28:59.999,3.0,,0.0,0.0,,,0.4068,0.8222,96741.0,21328.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2731.0,2023-01-22 14:29:59.999,3.0,,0.0,0.0,,,0.4069,0.823,454979.0,27893.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2732.0,2023-01-22 14:30:59.999,3.0,,0.0,0.0,,,0.407,0.8257,292180.0,64962.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2733.0,2023-01-22 14:31:59.999,3.0,,0.0,0.0,,,0.4068,0.8248,49869.0,37312.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2734.0,2023-01-22 14:32:59.999,3.0,,0.0,0.0,,,0.4065999999999999,0.8249,171693.0,32609.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2735.0,2023-01-22 14:33:59.999,3.0,,0.0,0.0,,,0.4066499999999999,0.8283499999999999,132789.0,154955.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2736.0,2023-01-22 14:34:59.999,3.0,,0.0,0.0,,,0.4065999999999999,0.83205,180840.0,358223.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2737.0,2023-01-22 14:35:59.999,3.0,,0.0,0.0,,,0.4064,0.83265,148900.0,45965.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2738.0,2023-01-22 14:36:59.999,3.0,,0.0,0.0,,,0.4063,0.8294999999999999,81825.0,58525.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2739.0,2023-01-22 14:37:59.999,3.0,,0.0,0.0,,,0.4061,0.8304,78844.0,61454.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2740.0,2023-01-22 14:38:59.999,3.0,,0.0,0.0,,,0.40615,0.8317,178788.0,61902.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2741.0,2023-01-22 14:39:59.999,3.0,,0.0,0.0,,,0.4062,0.83195,188502.0,48117.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2742.0,2023-01-22 14:40:59.999,3.0,,0.0,0.0,,,0.4063,0.8329,40412.0,115249.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2743.0,2023-01-22 14:41:59.999,3.0,,0.0,0.0,,,0.40635,0.8364499999999999,71838.0,139217.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2744.0,2023-01-22 14:42:59.999,3.0,,0.0,0.0,,,0.4061,0.8377,129129.0,234112.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2745.0,2023-01-22 14:43:59.999,3.0,,0.0,0.0,,,0.4059,0.84005,54805.0,160140.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
