index,close_time,transaction_id,positions,SANDUSDT_units,JASMYUSDT_units,entry_SANDUSDT_price,entry_JASMYUSDT_price,historical_SANDUSDT_mid,historical_JASMYUSDT_mid,historical_SANDUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,JASMYUSDT_raw_pnl,SANDUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
596.0,2023-01-21 01:04:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79795,0.005151,71069.0,3165499.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
597.0,2023-01-21 01:05:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79875,0.005153,38788.0,2781107.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
598.0,2023-01-21 01:06:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7988999999999999,0.005156,89510.0,3029156.1,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
599.0,2023-01-21 01:07:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79665,0.00515,23509.0,5231267.1,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
600.0,2023-01-21 01:08:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79605,0.005147,19388.0,2707997.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
601.0,2023-01-21 01:09:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79535,0.005134,22616.0,4476086.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
602.0,2023-01-21 01:10:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79545,0.0051335,29465.0,1297263.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
603.0,2023-01-21 01:11:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79695,0.005144,40235.0,1963649.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
604.0,2023-01-21 01:12:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79845,0.0051505,23621.0,1126773.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
605.0,2023-01-21 01:13:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7970999999999999,0.0051445,4084.0,607511.7,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
606.0,2023-01-21 01:14:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.796,0.0051305,7042.0,3757654.7,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
607.0,2023-01-21 01:15:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7966500000000001,0.0051305,28034.0,4307445.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
608.0,2023-01-21 01:16:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7981499999999999,0.005137,37630.0,655097.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
609.0,2023-01-21 01:17:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7986,0.0051389999999999,20050.0,708705.2,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
610.0,2023-01-21 01:18:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7987,0.0051319999999999,15740.0,334967.8,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
611.0,2023-01-21 01:19:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7985500000000001,0.0051335,35583.0,857936.1,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
