coin1,coin2,in_sample_correlation,in_sample_correlation_pvalue,in_sample_residuals_adf_p_value,in_sample_alpha,in_sample_beta,in_sample_half_file,in_sample_hurst,in_sample_coin1_lookback,in_sample_coin2_lookback,out_of_sample_correlation,out_of_sample_correlation_p_value,out_of_sample_spread_adf_p_value,out_of_sample_mean,out_of_sample_std,out_of_sample_half_file,out_of_sample_hurst
BNBUSDT,LUNCUSDT,0.9155696328870959,0.0,0.0028757989764479266,15.095484686609929,1.0878949768519544,857.0,0.448859516815761,2447,2152,0.8849388337656168,0.0,0.12386289124913041,0.007323139794408795,0.027889719992997525,537.0,0.4845284088638086
BNBUSDT,ATOMUSDT,0.9765445737213969,0.0,0.029742025165781904,3.832141776627278,0.7403652964437315,1085.0,0.46163190589850295,2447,2449,0.9271005789521224,0.0,0.37779795089677914,-0.015406001925219726,0.018939529877621937,968.0,0.4386111116862278
SHIBUSDT,SANDUSDT,0.9554354460278227,0.0,0.02511369931298653,-11.265515993243671,0.5083607784308919,1281.0,0.49955806112977746,2262,2348,0.923862447779785,0.0,0.018399461261894703,0.06099292065999376,0.0136912512166027,306.0,0.47626514930260355
LTCUSDT,MATICUSDT,0.9516917665827408,0.0,0.040143425653098266,4.482536248066525,0.6795339239205558,1183.0,0.45520319094884754,2313,2409,0.9749753998606606,0.0,0.12951459474484417,-0.0058791506302851276,0.011082014132283123,469.0,0.47602508443131775
LTCUSDT,ADAUSDT,0.9692100935758845,0.0,0.004973092916442878,5.027860986590822,0.5375267226647509,750.0,0.45341556914326847,2313,2448,0.9107643059409778,0.0,0.3975824464660058,-0.007806994638710351,0.01320418154820401,743.0,0.4611167780727235
LTCUSDT,LDOUSDT,0.9464304902777203,0.0,0.01655843884341787,4.242621319009583,0.2743201608749901,699.0,0.4554465185759925,2313,2312,0.9400448591256066,0.0,0.09350582672692404,0.010198977031711716,0.013735116873348498,398.0,0.47606000623478667
LTCUSDT,APEUSDT,0.9653923567935803,0.0,0.0012364529370377424,3.4445725376668954,0.6267027772859448,610.0,0.45108164232371606,2313,2362,0.8733061169381495,0.0,0.5115665620376102,-0.007234806102304207,0.025682340908252832,1315.0,0.5063221043741146
LTCUSDT,LINKUSDT,0.9645677875958085,0.0,0.0031327819156617524,2.656764118113543,0.9535562388832286,746.0,0.4647223485510303,2313,2438,0.9678291501843724,0.0,0.15461028036395297,-0.011888073658016685,0.009919609354757882,369.0,0.4521809772142121
LTCUSDT,LUNCUSDT,0.9439345678627691,0.0,6.111175608089523e-06,13.520516193156425,1.0481089616285066,459.0,0.4557495187037629,2313,2152,0.8985847541336565,0.0,0.03500236621750397,0.0058874099957881496,0.020407465687190287,344.0,0.4601783740230591
LTCUSDT,ATOMUSDT,0.9860043063317661,0.0,6.475156191512266e-06,2.704503709708865,0.6985568346674871,308.0,0.4450079208868833,2313,2449,0.9721467878005263,0.0,0.036934735956870135,-0.014046374365013076,0.008516352934104401,247.0,0.4336445787309527
LTCUSDT,EURUSDT,0.7648767775365878,0.0,0.022273416541680916,3.9681245644473986,5.9672558501340625,1615.0,0.48392659050593273,2313,2404,0.8328183277339639,0.0,0.382507744622827,0.015428986526766709,0.023471322101341844,962.0,0.4596816272104196
LTCUSDT,JASMYUSDT,0.9169734009221141,0.0,0.043936711259096005,6.703836065862582,0.4207396819204945,1436.0,0.4592658594407644,2313,2161,0.9363544337267775,0.0,0.19499671144894953,-0.005346775759676492,0.012525310307058654,504.0,0.45944626423940504
MATICUSDT,NEARUSDT,0.9729190307584031,0.0,0.043163867062832886,-0.4238022965652858,0.5260881906678503,1402.0,0.44401754619249595,2409,2291,0.9257638230351903,0.0,0.22994485151625738,-0.02147631703864825,0.014816294050443131,703.0,0.49174329411511597
MATICUSDT,SANDUSDT,0.9858223920136582,0.0,0.007661612063898263,0.1600655061304038,0.4617549429466107,1118.0,0.488364250931139,2409,2348,0.9137450895302837,0.0,0.24588172049708124,-0.04779794722924847,0.013602564798513595,834.0,0.45629161972461996
MATICUSDT,FILUSDT,0.9808000465822104,0.0,0.011719888457660938,-1.014407693928097,0.6629959286715145,913.0,0.4928708568163857,2409,2334,0.8232096797760504,0.0,0.8903037775676984,-0.03753180148798482,0.03230975378711496,-11526.0,0.4462284137668125
MATICUSDT,LINKUSDT,0.987053610463502,0.0,0.0068028537078907506,-2.6204153916208277,1.366593870956245,730.0,0.4633172462659548,2409,2438,0.9692819303952511,0.0,0.5463163445992836,-0.005345476677098721,0.021962225396675868,1115.0,0.4016332112833535
MATICUSDT,DOTUSDT,0.9886790068067236,0.0,0.002004310986573733,-1.576214739509613,0.8847664731590558,693.0,0.43095118707149505,2409,2337,0.9456501688254153,0.0,0.2543993210046177,-0.0355953728650392,0.011499444668533918,523.0,0.42397014794060534
MATICUSDT,LUNCUSDT,0.9352099880442641,0.0,0.0008372375528102052,12.532449024209264,1.454316225838671,697.0,0.45360096359281765,2409,2152,0.8561547344773848,0.0,0.11546232677849239,0.023466907091826493,0.03624999675263272,532.0,0.48955781127277703
MATICUSDT,JASMYUSDT,0.9689178687183952,0.0,0.0004978397535979794,3.2879883844579045,0.622628320587819,832.0,0.4596453939991742,2409,2161,0.9270231404411808,0.0,0.42154148441661266,8.726464957950363e-05,0.013463101678670398,788.0,0.4259584305072247
ADAUSDT,LDOUSDT,0.9697178435281484,0.0,0.002509818953524469,-1.459016889500972,0.5067949274608619,612.0,0.47386060767150767,2448,2312,0.9021481537233157,0.0,0.36724289826889867,0.03438748556008853,0.02373941799491269,632.0,0.5124245049993346
