index,close_time,transaction_id,positions,ETHUSDT_units,XRPUSDT_units,entry_ETHUSDT_price,entry_XRPUSDT_price,historical_ETHUSDT_mid,historical_XRPUSDT_mid,historical_ETHUSDT_vol,historical_XRPUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,XRPUSDT_raw_pnl,ETHUSDT_cost,XRPUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2844.0,2023-01-22 16:07:59.999,2.0,,0.0,0.0,,,1633.31,0.4051,146.4653,62687.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2845.0,2023-01-22 16:08:59.999,2.0,,0.0,0.0,,,1634.12,0.40525,186.298,128186.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2846.0,2023-01-22 16:09:59.999,2.0,,0.0,0.0,,,1633.74,0.405,256.3423,183071.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2847.0,2023-01-22 16:10:59.999,2.0,,0.0,0.0,,,1632.995,0.40495,116.5729,132769.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2848.0,2023-01-22 16:11:59.999,2.0,,0.0,0.0,,,1633.465,0.40525,149.1586,140482.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2849.0,2023-01-22 16:12:59.999,2.0,,0.0,0.0,,,1632.745,0.4055499999999999,93.3791,647855.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2850.0,2023-01-22 16:13:59.999,2.0,,0.0,0.0,,,1631.985,0.40565,216.5584,2117363.0,3.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2851.0,2023-01-22 16:14:59.999,2.0,,0.0,0.0,,,1630.98,0.4054,612.0615,867209.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2852.0,2023-01-22 16:15:59.999,2.0,,0.0,0.0,,,1633.285,0.4062,405.7992,192528.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2853.0,2023-01-22 16:16:59.999,2.0,,0.0,0.0,,,1634.105,0.4063,104.779,136754.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2854.0,2023-01-22 16:17:59.999,2.0,,0.0,0.0,,,1634.015,0.40635,112.0113,8688.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2855.0,2023-01-22 16:18:59.999,2.0,,0.0,0.0,,,1634.25,0.4065,64.9254,56625.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2856.0,2023-01-22 16:19:59.999,2.0,,0.0,0.0,,,1635.0100000000002,0.4068,594.4505,236996.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2857.0,2023-01-22 16:20:59.999,2.0,,0.0,0.0,,,1635.59,0.4074,174.8478,200852.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2858.0,2023-01-22 16:21:59.999,2.0,,0.0,0.0,,,1635.67,0.4075999999999999,194.0838,80592.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2859.0,2023-01-22 16:22:59.999,2.0,,0.0,0.0,,,1636.15,0.4078,195.4689,286284.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2860.0,2023-01-22 16:23:59.999,2.0,,0.0,0.0,,,1636.625,0.4081,211.6712,319916.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2861.0,2023-01-22 16:24:59.999,2.0,,0.0,0.0,,,1638.025,0.4083,257.5254,289421.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2862.0,2023-01-22 16:25:59.999,2.0,,0.0,0.0,,,1637.01,0.40795,185.0215,242033.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2863.0,2023-01-22 16:26:59.999,2.0,,0.0,0.0,,,1637.1950000000002,0.4076999999999999,594.1787,265675.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2864.0,2023-01-22 16:27:59.999,2.0,,0.0,0.0,,,1636.62,0.40745,179.9973,164414.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
