index,close_time,transaction_id,positions,XRPUSDT_units,MATICUSDT_units,entry_XRPUSDT_price,entry_MATICUSDT_price,historical_XRPUSDT_mid,historical_MATICUSDT_mid,historical_XRPUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,MATICUSDT_raw_pnl,XRPUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
688.0,2023-01-21 04:26:59.999,,,0,0,,,0.4109,1.02285,64484.0,14013.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
689.0,2023-01-21 04:27:59.999,,,0,0,,,0.41125,1.02275,755209.0,33014.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
690.0,2023-01-21 04:28:59.999,,,0,0,,,0.41115,1.0233,84483.0,30574.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
691.0,2023-01-21 04:29:59.999,,,0,0,,,0.4112,1.024,41259.0,16463.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
692.0,2023-01-21 04:30:59.999,,,0,0,,,0.41135,1.02385,150849.0,30702.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
693.0,2023-01-21 04:31:59.999,,,0,0,,,0.41105,1.0232,157979.0,51461.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
694.0,2023-01-21 04:32:59.999,,,0,0,,,0.41095,1.0236999999999998,63852.0,26154.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
695.0,2023-01-21 04:33:59.999,,,0,0,,,0.4108,1.024,93594.0,18562.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
696.0,2023-01-21 04:34:59.999,,,0,0,,,0.41065,1.02445,42591.0,24342.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
697.0,2023-01-21 04:35:59.999,,,0,0,,,0.4105,1.02395,104483.0,42583.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
698.0,2023-01-21 04:36:59.999,,,0,0,,,0.4105,1.0233,36276.0,2696.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
699.0,2023-01-21 04:37:59.999,,,0,0,,,0.4104,1.02305,28873.0,17243.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
700.0,2023-01-21 04:38:59.999,,,0,0,,,0.4105,1.02375,356492.0,32578.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
701.0,2023-01-21 04:39:59.999,,,0,0,,,0.41075,1.0243,30916.0,38092.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
702.0,2023-01-21 04:40:59.999,,,0,0,,,0.4106499999999999,1.0245000000000002,141292.0,135306.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
703.0,2023-01-21 04:41:59.999,,,0,0,,,0.4107,1.02545,30843.0,32748.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
704.0,2023-01-21 04:42:59.999,,,0,0,,,0.41065,1.0256500000000002,31061.0,29079.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
705.0,2023-01-21 04:43:59.999,,,0,0,,,0.4105,1.0258,86661.0,27683.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
706.0,2023-01-21 04:44:59.999,,,0,0,,,0.4103,1.0258,125386.0,15763.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
707.0,2023-01-21 04:45:59.999,,,0,0,,,0.41045,1.0262,146534.0,47446.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
708.0,2023-01-21 04:46:59.999,,,0,0,,,0.4104,1.0258500000000002,43609.0,28443.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
709.0,2023-01-21 04:47:59.999,,,0,0,,,0.4104,1.0257,106953.0,3668.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
710.0,2023-01-21 04:48:59.999,,,0,0,,,0.4103,1.0254,134891.0,53762.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
711.0,2023-01-21 04:49:59.999,,,0,0,,,0.41025,1.0255,51982.0,49255.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
712.0,2023-01-21 04:50:59.999,,,0,0,,,0.4104,1.02555,39016.0,8750.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
713.0,2023-01-21 04:51:59.999,,,0,0,,,0.41035,1.0257,56376.0,22750.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
714.0,2023-01-21 04:52:59.999,,,0,0,,,0.41,1.02435,130919.0,28693.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
715.0,2023-01-21 04:53:59.999,,,0,0,,,0.41005,1.0239,59040.0,68695.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
716.0,2023-01-21 04:54:59.999,,,0,0,,,0.41025,1.02345,32843.0,29381.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
717.0,2023-01-21 04:55:59.999,,,0,0,,,0.41035,1.023,100723.0,27785.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
718.0,2023-01-21 04:56:59.999,,,0,0,,,0.41025,1.0224,157855.0,49845.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
719.0,2023-01-21 04:57:59.999,,,0,0,,,0.41,1.0217,64533.0,43677.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
720.0,2023-01-21 04:58:59.999,,,0,0,,,0.41,1.0222,33824.0,11688.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
721.0,2023-01-21 04:59:59.999,,,0,0,,,0.40995,1.02255,148866.0,30542.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
722.0,2023-01-21 05:00:59.999,,,0,0,,,0.41005,1.02305,29315.0,7235.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
723.0,2023-01-21 05:01:59.999,,,0,0,,,0.4106,1.0227499999999998,927753.0,30090.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
724.0,2023-01-21 05:02:59.999,,,0,0,,,0.41095,1.0225499999999998,73028.0,39655.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
725.0,2023-01-21 05:03:59.999,,,0,0,,,0.4105,1.0226000000000002,165387.0,31610.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
