index,close_time,transaction_id,positions,LTCUSDT_units,LUNCUSDT_units,entry_LTCUSDT_price,entry_LUNCUSDT_price,historical_LTCUSDT_mid,historical_LUNCUSDT_mid,historical_LTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,LTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1984.0,2023-01-21 23:37:59.999,1.0,,0.0,0.0,,,88.795,0.000179695,206.586,93402958.36,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1985.0,2023-01-21 23:38:59.999,1.0,,0.0,0.0,,,88.8,0.000179815,103.146,49456607.34,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1986.0,2023-01-21 23:39:59.999,1.0,,0.0,0.0,,,88.80000000000001,0.0001797,35.848,27146589.45,3.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1987.0,2023-01-21 23:40:59.999,1.0,,0.0,0.0,,,88.77,0.000179715,253.094,44552948.41,4.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1988.0,2023-01-21 23:41:59.999,1.0,,0.0,0.0,,,88.66499999999999,0.00017935,304.577,69417897.83,3.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1989.0,2023-01-21 23:42:59.999,1.0,,0.0,0.0,,,88.475,0.00017915,656.971,21976277.16,4.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1990.0,2023-01-21 23:43:59.999,1.0,,0.0,0.0,,,88.375,0.000178935,1524.266,39069430.01,3.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1991.0,2023-01-21 23:44:59.999,1.0,,0.0,0.0,,,88.245,0.00017869,2150.586,102635276.52,4.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1992.0,2023-01-21 23:45:59.999,1.0,,0.0,0.0,,,88.275,0.00017845,1023.833,135889345.99,3.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1993.0,2023-01-21 23:46:59.999,1.0,,0.0,0.0,,,88.285,0.00017866,2876.371,76302048.52,4.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1994.0,2023-01-21 23:47:59.999,1.0,,0.0,0.0,,,88.175,0.000178525,370.271,61832899.32,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1995.0,2023-01-21 23:48:59.999,1.0,,0.0,0.0,,,88.18,0.00017847,293.056,75962673.43,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1996.0,2023-01-21 23:49:59.999,1.0,,0.0,0.0,,,88.175,0.000178515,1312.568,63415054.63,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1997.0,2023-01-21 23:50:59.999,1.0,,0.0,0.0,,,88.08500000000001,0.0001784849999999,4443.113,35758522.64,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1998.0,2023-01-21 23:51:59.999,1.0,,0.0,0.0,,,88.2,0.00017878,201.542,49843415.63,3.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1999.0,2023-01-21 23:52:59.999,1.0,,0.0,0.0,,,88.155,0.000178935,3126.937,25496688.75,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2000.0,2023-01-21 23:53:59.999,1.0,,0.0,0.0,,,87.845,0.00017847,4102.136,142793476.51,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2001.0,2023-01-21 23:54:59.999,1.0,,0.0,0.0,,,87.905,0.0001782849999999,942.146,23275944.97,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2002.0,2023-01-21 23:55:59.999,1.0,,0.0,0.0,,,88.02000000000001,0.00017873,117.66,82901029.42,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2003.0,2023-01-21 23:56:59.999,1.0,,0.0,0.0,,,88.015,0.00017911,292.619,52267453.03,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2004.0,2023-01-21 23:57:59.999,1.0,,0.0,0.0,,,87.91499999999999,0.00017888,467.378,111920143.92,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2005.0,2023-01-21 23:58:59.999,1.0,,0.0,0.0,,,87.945,0.000178945,516.688,29195583.93,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2006.0,2023-01-21 23:59:59.999,1.0,,0.0,0.0,,,87.91499999999999,0.00017926,378.979,53642253.17,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2007.0,2023-01-22 00:00:59.999,1.0,,0.0,0.0,,,87.89,0.00017919,618.466,190855313.54,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2008.0,2023-01-22 00:01:59.999,1.0,,0.0,0.0,,,87.93,0.000179235,938.086,77108803.72,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2009.0,2023-01-22 00:02:59.999,1.0,,0.0,0.0,,,87.775,0.00017919,821.662,69350817.74,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2010.0,2023-01-22 00:03:59.999,1.0,,0.0,0.0,,,87.85499999999999,0.00017994,426.995,76105905.29,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2011.0,2023-01-22 00:04:59.999,1.0,,0.0,0.0,,,88.05000000000001,0.000180395,1674.868,115014536.76,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2012.0,2023-01-22 00:05:59.999,1.0,,0.0,0.0,,,88.17500000000001,0.000180635,431.615,381694717.15,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2013.0,2023-01-22 00:06:59.999,1.0,,0.0,0.0,,,88.195,0.000180495,416.553,37849753.69,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2014.0,2023-01-22 00:07:59.999,1.0,,0.0,0.0,,,88.23,0.0001802,156.275,99315476.57,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2015.0,2023-01-22 00:08:59.999,1.0,,0.0,0.0,,,88.25999999999999,0.000180465,78.937,64149847.56,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2016.0,2023-01-22 00:09:59.999,1.0,,0.0,0.0,,,88.3,0.00018045,270.117,31750178.01,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2017.0,2023-01-22 00:10:59.999,1.0,,0.0,0.0,,,88.325,0.00018065,167.65,84978384.37,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
