index,close_time,transaction_id,positions,XRPUSDT_units,LTCUSDT_units,entry_XRPUSDT_price,entry_LTCUSDT_price,historical_XRPUSDT_mid,historical_LTCUSDT_mid,historical_XRPUSDT_vol,historical_LTCUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,LTCUSDT_raw_pnl,XRPUSDT_cost,LTCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2858.0,2023-01-22 16:36:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40705,88.64,65140.0,182.952,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2859.0,2023-01-22 16:37:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4066999999999999,88.59,235583.0,125.371,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2860.0,2023-01-22 16:38:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4065,88.58000000000001,136660.0,166.369,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2861.0,2023-01-22 16:39:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4065999999999999,88.655,31712.0,67.991,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2862.0,2023-01-22 16:40:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40635,88.66999999999999,1027373.0,125.569,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2863.0,2023-01-22 16:41:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40615,88.65,145299.0,84.402,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2864.0,2023-01-22 16:42:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40635,88.695,60641.0,192.027,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2865.0,2023-01-22 16:43:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4065999999999999,88.76,97987.0,131.231,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2866.0,2023-01-22 16:44:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40685,88.72999999999999,39236.0,41.251,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2867.0,2023-01-22 16:45:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40685,88.755,107357.0,209.239,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2868.0,2023-01-22 16:46:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40725,88.885,266162.0,654.487,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2869.0,2023-01-22 16:47:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4075,88.96000000000001,162295.0,133.013,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2870.0,2023-01-22 16:48:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4075999999999999,88.99000000000001,178176.0,131.549,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2871.0,2023-01-22 16:49:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4076999999999999,89.155,202270.0,1219.12,2.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
