index,close_time,transaction_id,positions,XRPUSDT_units,LUNCUSDT_units,entry_XRPUSDT_price,entry_LUNCUSDT_price,historical_XRPUSDT_mid,historical_LUNCUSDT_mid,historical_XRPUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,LUNCUSDT_raw_pnl,XRPUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1647.0,2023-01-21 20:25:59.999,2.0,,0.0,0.0,,,0.4115999999999999,0.00018148,229736.0,30002344.76,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1648.0,2023-01-21 20:26:59.999,2.0,,0.0,0.0,,,0.4115499999999999,0.00018155,50347.0,19574939.6,3.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1649.0,2023-01-21 20:27:59.999,2.0,,0.0,0.0,,,0.4119,0.00018156,42755.0,25148117.62,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1650.0,2023-01-21 20:28:59.999,2.0,,0.0,0.0,,,0.4118,0.00018159,67151.0,43770450.05,4.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1651.0,2023-01-21 20:29:59.999,2.0,,0.0,0.0,,,0.4116499999999999,0.000181615,112752.0,30341245.65,3.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1652.0,2023-01-21 20:30:59.999,2.0,,0.0,0.0,,,0.4116499999999999,0.000181545,123814.0,69679457.86,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1653.0,2023-01-21 20:31:59.999,2.0,,0.0,0.0,,,0.4115,0.000181525,161870.0,40064488.01,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1654.0,2023-01-21 20:32:59.999,2.0,,0.0,0.0,,,0.41175,0.000181485,242415.0,45223120.94,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1655.0,2023-01-21 20:33:59.999,2.0,,0.0,0.0,,,0.41205,0.0001817799999999,41937.0,57452935.69,4.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1656.0,2023-01-21 20:34:59.999,2.0,,0.0,0.0,,,0.41185,0.00018163,37891.0,35457476.57,3.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1657.0,2023-01-21 20:35:59.999,2.0,,0.0,0.0,,,0.41185,0.0001816249999999,48668.0,26230061.45,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1658.0,2023-01-21 20:36:59.999,2.0,,0.0,0.0,,,0.41195,0.000181765,303444.0,90425190.85,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1659.0,2023-01-21 20:37:59.999,2.0,,0.0,0.0,,,0.41175,0.0001817899999999,25690.0,35677217.87,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1660.0,2023-01-21 20:38:59.999,2.0,,0.0,0.0,,,0.4116499999999999,0.000181685,160981.0,93373657.85,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1661.0,2023-01-21 20:39:59.999,2.0,,0.0,0.0,,,0.4114,0.000181685,540613.0,69412272.49,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1662.0,2023-01-21 20:40:59.999,2.0,,0.0,0.0,,,0.41095,0.00018163,245360.0,99693010.43,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1663.0,2023-01-21 20:41:59.999,2.0,,0.0,0.0,,,0.4112,0.000181715,37387.0,13729411.91,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1664.0,2023-01-21 20:42:59.999,2.0,,0.0,0.0,,,0.41115,0.000181685,211455.0,25677438.3,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1665.0,2023-01-21 20:43:59.999,2.0,,0.0,0.0,,,0.4111,0.00018177,84597.0,19170664.32,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1666.0,2023-01-21 20:44:59.999,2.0,,0.0,0.0,,,0.411,0.000181875,124312.0,72324862.84,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1667.0,2023-01-21 20:45:59.999,2.0,,0.0,0.0,,,0.4109,0.00018194,44500.0,42619013.96,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1668.0,2023-01-21 20:46:59.999,2.0,,0.0,0.0,,,0.4109,0.00018205,169715.0,55099719.08,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1669.0,2023-01-21 20:47:59.999,2.0,,0.0,0.0,,,0.411,0.000182025,126288.0,24429539.63,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1670.0,2023-01-21 20:48:59.999,2.0,,0.0,0.0,,,0.41145,0.000182405,61482.0,40024723.69,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1671.0,2023-01-21 20:49:59.999,2.0,,0.0,0.0,,,0.41175,0.000182645,87650.0,138294211.49,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1672.0,2023-01-21 20:50:59.999,2.0,,0.0,0.0,,,0.41185,0.0001825199999999,75564.0,19333460.45,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1673.0,2023-01-21 20:51:59.999,2.0,,0.0,0.0,,,0.4115,0.000182345,318407.0,79247843.96,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1674.0,2023-01-21 20:52:59.999,2.0,,0.0,0.0,,,0.41145,0.00018259,35387.0,48470392.7,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1675.0,2023-01-21 20:53:59.999,2.0,,0.0,0.0,,,0.41145,0.000182725,30340.0,4866192.14,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1676.0,2023-01-21 20:54:59.999,2.0,,0.0,0.0,,,0.4115999999999999,0.000182815,91331.0,125215573.43,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1677.0,2023-01-21 20:55:59.999,2.0,,0.0,0.0,,,0.4115999999999999,0.000182785,158282.0,10678330.94,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1678.0,2023-01-21 20:56:59.999,2.0,,0.0,0.0,,,0.4115,0.00018282,66337.0,90820638.54,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1679.0,2023-01-21 20:57:59.999,2.0,,0.0,0.0,,,0.41125,0.00018278,36832.0,32282593.05,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1680.0,2023-01-21 20:58:59.999,2.0,,0.0,0.0,,,0.4112,0.000182665,11986.0,18513976.62,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1681.0,2023-01-21 20:59:59.999,2.0,,0.0,0.0,,,0.4111,0.00018254,88362.0,39165468.36,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1682.0,2023-01-21 21:00:59.999,2.0,,0.0,0.0,,,0.41085,0.0001825199999999,749070.0,176723125.36,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1683.0,2023-01-21 21:01:59.999,2.0,,0.0,0.0,,,0.4105499999999999,0.0001825,265434.0,52418681.31,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1684.0,2023-01-21 21:02:59.999,2.0,,0.0,0.0,,,0.4108,0.000182405,128113.0,57889434.6,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1685.0,2023-01-21 21:03:59.999,2.0,,0.0,0.0,,,0.41115,0.000182575,15834.0,80487791.12,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1686.0,2023-01-21 21:04:59.999,2.0,,0.0,0.0,,,0.4111,0.000182665,70021.0,21357587.3,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1687.0,2023-01-21 21:05:59.999,2.0,,0.0,0.0,,,0.411,0.0001828849999999,43581.0,13682617.2,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1688.0,2023-01-21 21:06:59.999,2.0,,0.0,0.0,,,0.4112,0.00018306,28052.0,79310245.7,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1689.0,2023-01-21 21:07:59.999,2.0,,0.0,0.0,,,0.41105,0.00018315,30897.0,83216153.52,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1690.0,2023-01-21 21:08:59.999,2.0,,0.0,0.0,,,0.4109,0.000183125,48493.0,30038263.69,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1691.0,2023-01-21 21:09:59.999,2.0,,0.0,0.0,,,0.41105,0.000183325,53960.0,66140694.75,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1692.0,2023-01-21 21:10:59.999,2.0,,0.0,0.0,,,0.41105,0.00018333,44783.0,27148644.41,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1693.0,2023-01-21 21:11:59.999,2.0,,0.0,0.0,,,0.41095,0.000183325,84045.0,121162398.48,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1694.0,2023-01-21 21:12:59.999,2.0,,0.0,0.0,,,0.4109,0.000183375,27534.0,114718613.19,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1695.0,2023-01-21 21:13:59.999,2.0,,0.0,0.0,,,0.4111,0.000183425,125500.0,197862790.3,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1696.0,2023-01-21 21:14:59.999,2.0,,0.0,0.0,,,0.41105,0.0001833499999999,49344.0,70182043.98,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1697.0,2023-01-21 21:15:59.999,2.0,,0.0,0.0,,,0.41115,0.000183275,55709.0,127762857.27,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1698.0,2023-01-21 21:16:59.999,2.0,,0.0,0.0,,,0.4113,0.0001832499999999,49832.0,33099202.16,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1699.0,2023-01-21 21:17:59.999,2.0,,0.0,0.0,,,0.4114,0.00018341,42211.0,62500539.56,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1700.0,2023-01-21 21:18:59.999,2.0,,0.0,0.0,,,0.4112,0.00018368,54500.0,223843417.09,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1701.0,2023-01-21 21:19:59.999,2.0,,0.0,0.0,,,0.41115,0.000183685,9600.0,37748749.16,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1702.0,2023-01-21 21:20:59.999,2.0,,0.0,0.0,,,0.4112,0.000183655,53806.0,109506374.56,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1703.0,2023-01-21 21:21:59.999,2.0,,0.0,0.0,,,0.41105,0.000183535,64469.0,40005384.7,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1704.0,2023-01-21 21:22:59.999,2.0,,0.0,0.0,,,0.4109,0.0001835,181516.0,66700048.41,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1705.0,2023-01-21 21:23:59.999,2.0,,0.0,0.0,,,0.4108,0.00018338,30929.0,19403770.63,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1706.0,2023-01-21 21:24:59.999,2.0,,0.0,0.0,,,0.4105999999999999,0.00018325,114591.0,14125122.56,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1707.0,2023-01-21 21:25:59.999,2.0,,0.0,0.0,,,0.41065,0.000183385,17877.0,13089901.99,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1708.0,2023-01-21 21:26:59.999,2.0,,0.0,0.0,,,0.4107,0.000183535,96495.0,16033357.55,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1709.0,2023-01-21 21:27:59.999,2.0,,0.0,0.0,,,0.4107,0.00018373,94813.0,19112121.9,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1710.0,2023-01-21 21:28:59.999,2.0,,0.0,0.0,,,0.41085,0.000183795,114821.0,48990309.83,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1711.0,2023-01-21 21:29:59.999,2.0,,0.0,0.0,,,0.4111,0.00018396,35991.0,38881187.07,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1712.0,2023-01-21 21:30:59.999,2.0,,0.0,0.0,,,0.4111,0.000183885,24066.0,129427678.82,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1713.0,2023-01-21 21:31:59.999,2.0,,0.0,0.0,,,0.41115,0.000183855,49818.0,53442295.25,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1714.0,2023-01-21 21:32:59.999,2.0,,0.0,0.0,,,0.4114,0.000183525,50715.0,89594293.33,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1715.0,2023-01-21 21:33:59.999,2.0,,0.0,0.0,,,0.4114,0.000183755,44127.0,82358471.61,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1716.0,2023-01-21 21:34:59.999,2.0,,0.0,0.0,,,0.41145,0.00018391,230967.0,17490323.09,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1717.0,2023-01-21 21:35:59.999,2.0,,0.0,0.0,,,0.41135,0.000183915,18558.0,50273660.26,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1718.0,2023-01-21 21:36:59.999,2.0,,0.0,0.0,,,0.4115499999999999,0.000183945,15975.0,34932930.95,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
