index,close_time,transaction_id,positions,NEARUSDT_units,DOTUSDT_units,entry_NEARUSDT_price,entry_DOTUSDT_price,historical_NEARUSDT_mid,historical_DOTUSDT_mid,historical_NEARUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,DOTUSDT_raw_pnl,NEARUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
950.0,2023-01-21 06:01:59.999,,,0.0,0.0,,,2.3495,6.212,15436.9,17895.52,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
951.0,2023-01-21 06:02:59.999,,,0.0,0.0,,,2.349,6.206,8767.0,6626.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
952.0,2023-01-21 06:03:59.999,,,0.0,0.0,,,2.3485,6.204000000000001,3287.4,3791.09,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
953.0,2023-01-21 06:04:59.999,,,0.0,0.0,,,2.349,6.204000000000001,1083.4,3123.04,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
954.0,2023-01-21 06:05:59.999,,,0.0,0.0,,,2.35,6.2035,4506.1,4855.97,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
955.0,2023-01-21 06:06:59.999,,,0.0,0.0,,,2.3520000000000003,6.2005,3108.2,3114.27,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
956.0,2023-01-21 06:07:59.999,,,0.0,0.0,,,2.3535,6.1985,13956.0,1442.35,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
957.0,2023-01-21 06:08:59.999,,,0.0,0.0,,,2.3545,6.202,8979.5,1866.62,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
958.0,2023-01-21 06:09:59.999,,,0.0,0.0,,,2.355,6.205,4264.0,709.39,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
959.0,2023-01-21 06:10:59.999,,,0.0,0.0,,,2.355,6.207,13643.0,3467.12,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
960.0,2023-01-21 06:11:59.999,,,0.0,0.0,,,2.3525,6.199,4227.0,8142.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
961.0,2023-01-21 06:12:59.999,,,0.0,0.0,,,2.351,6.1995000000000005,8611.1,1763.89,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
962.0,2023-01-21 06:13:59.999,,,0.0,0.0,,,2.353,6.2010000000000005,2295.1,507.15,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
963.0,2023-01-21 06:14:59.999,,,0.0,0.0,,,2.355,6.206,7031.3,907.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
964.0,2023-01-21 06:15:59.999,,,0.0,0.0,,,2.354,6.212,6670.5,3384.34,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
965.0,2023-01-21 06:16:59.999,,,0.0,0.0,,,2.3555,6.2135,12690.6,575.92,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
