index,close_time,transaction_id,positions,LTCUSDT_units,ATOMUSDT_units,entry_LTCUSDT_price,entry_ATOMUSDT_price,historical_LTCUSDT_mid,historical_ATOMUSDT_mid,historical_LTCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LTCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1080.0,2023-01-21 08:33:59.999,,,0.0,0.0,,,90.19,13.289,139.708,142.74,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1081.0,2023-01-21 08:34:59.999,,,0.0,0.0,,,90.15,13.2895,43.219,721.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1082.0,2023-01-21 08:35:59.999,,,0.0,0.0,,,90.17,13.291,318.686,41.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1083.0,2023-01-21 08:36:59.999,,,0.0,0.0,,,90.225,13.3065,236.431,2329.77,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1084.0,2023-01-21 08:37:59.999,,,0.0,0.0,,,90.225,13.323,210.197,596.15,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1085.0,2023-01-21 08:38:59.999,,,0.0,0.0,,,90.275,13.327,344.522,249.24,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1086.0,2023-01-21 08:39:59.999,,,0.0,0.0,,,90.27,13.3215,89.757,255.89,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1087.0,2023-01-21 08:40:59.999,,,0.0,0.0,,,90.27,13.32,63.139,2925.04,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1088.0,2023-01-21 08:41:59.999,,,0.0,0.0,,,90.225,13.3085,118.121,271.43,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1089.0,2023-01-21 08:42:59.999,,,0.0,0.0,,,90.235,13.31,59.963,196.75,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1090.0,2023-01-21 08:43:59.999,,,0.0,0.0,,,90.285,13.3165,494.032,98.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1091.0,2023-01-21 08:44:59.999,,,0.0,0.0,,,90.325,13.315,549.642,488.35,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1092.0,2023-01-21 08:45:59.999,,,0.0,0.0,,,90.33,13.309,89.305,689.99,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1093.0,2023-01-21 08:46:59.999,,,0.0,0.0,,,90.265,13.3035,507.283,884.27,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1094.0,2023-01-21 08:47:59.999,,,0.0,0.0,,,90.225,13.3,76.892,565.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1095.0,2023-01-21 08:48:59.999,,,0.0,0.0,,,90.225,13.295,144.525,624.95,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1096.0,2023-01-21 08:49:59.999,,,0.0,0.0,,,90.215,13.2965,128.052,430.34,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1097.0,2023-01-21 08:50:59.999,,,0.0,0.0,,,90.165,13.29,110.546,166.76,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
