index,close_time,transaction_id,positions,NEARUSDT_units,JASMYUSDT_units,entry_NEARUSDT_price,entry_JASMYUSDT_price,historical_NEARUSDT_mid,historical_JASMYUSDT_mid,historical_NEARUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,JASMYUSDT_raw_pnl,NEARUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1657.0,2023-01-21 17:48:59.999,,,0.0,0.0,,,2.3795,0.0051665,4632.2,601954.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1658.0,2023-01-21 17:49:59.999,,,0.0,0.0,,,2.379,0.0051695,205.4,523129.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1659.0,2023-01-21 17:50:59.999,,,0.0,0.0,,,2.377,0.005169,2112.6,211462.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1660.0,2023-01-21 17:51:59.999,,,0.0,0.0,,,2.3795,0.005171,773.5,160873.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1661.0,2023-01-21 17:52:59.999,,,0.0,0.0,,,2.379,0.0051715,32860.4,9078079.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1662.0,2023-01-21 17:53:59.999,,,0.0,0.0,,,2.3625,0.0051664999999999,224950.2,22023572.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1663.0,2023-01-21 17:54:59.999,,,0.0,0.0,,,2.361,0.0051545,20193.8,2637129.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1664.0,2023-01-21 17:55:59.999,,,0.0,0.0,,,2.3665000000000003,0.0051555,8880.0,2497399.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1665.0,2023-01-21 17:56:59.999,,,0.0,0.0,,,2.3695,0.0051625,12295.6,1025499.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1666.0,2023-01-21 17:57:59.999,,,0.0,0.0,,,2.371,0.0051649999999999,1979.1,381168.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1667.0,2023-01-21 17:58:59.999,,,0.0,0.0,,,2.374,0.0051649999999999,6428.0,175409.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1668.0,2023-01-21 17:59:59.999,,,0.0,0.0,,,2.3755,0.005164,1695.9,550009.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1669.0,2023-01-21 18:00:59.999,,,0.0,0.0,,,2.3785,0.0051605,7577.1,1320502.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1670.0,2023-01-21 18:01:59.999,,,0.0,0.0,,,2.3835,0.005155,12833.3,265741.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1671.0,2023-01-21 18:02:59.999,,,0.0,0.0,,,2.383,0.0051485,2509.7,1116095.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1672.0,2023-01-21 18:03:59.999,,,0.0,0.0,,,2.3785,0.0051445,7901.9,1633357.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1673.0,2023-01-21 18:04:59.999,,,0.0,0.0,,,2.3785,0.005143,4307.4,115607.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1674.0,2023-01-21 18:05:59.999,,,0.0,0.0,,,2.381,0.0051475,3691.8,767084.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1675.0,2023-01-21 18:06:59.999,,,0.0,0.0,,,2.3835,0.005156,807.2,1953124.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1676.0,2023-01-21 18:07:59.999,,,0.0,0.0,,,2.3815,0.005156,394.3,89205.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1677.0,2023-01-21 18:08:59.999,,,0.0,0.0,,,2.378,0.005158,4054.4,4374236.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
