index,close_time,transaction_id,positions,ETHUSDT_units,SHIBUSDT_units,entry_ETHUSDT_price,entry_SHIBUSDT_price,historical_ETHUSDT_mid,historical_SHIBUSDT_mid,historical_ETHUSDT_vol,historical_SHIBUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,SHIBUSDT_raw_pnl,ETHUSDT_cost,SHIBUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1300.0,2023-01-21 14:23:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.45,1.2095e-05,58.9385,744821206.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1301.0,2023-01-21 14:24:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.855,1.2095e-05,91.2714,1250071025.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1302.0,2023-01-21 14:25:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.975,1.2095e-05,82.15,764203137.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1303.0,2023-01-21 14:26:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.44,1.209e-05,33.9182,1524076060.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1304.0,2023-01-21 14:27:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.655,1.2095e-05,49.8605,877021527.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1305.0,2023-01-21 14:28:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.64,1.21e-05,179.2398,5233250164.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1306.0,2023-01-21 14:29:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.75,1.2105e-05,114.1235,3771123081.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1307.0,2023-01-21 14:30:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.03,1.211e-05,102.803,1898285759.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1308.0,2023-01-21 14:31:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.765,1.212e-05,105.9676,889807821.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1309.0,2023-01-21 14:32:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.525,1.2125e-05,127.6104,313735964.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1310.0,2023-01-21 14:33:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.45,1.212e-05,59.4845,1960671222.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1311.0,2023-01-21 14:34:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.345,1.2115e-05,407.8693,9822440811.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1312.0,2023-01-21 14:35:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.3000000000002,1.2105e-05,78.4874,1528923627.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1313.0,2023-01-21 14:36:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.505,1.2105e-05,67.4953,4255146579.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1314.0,2023-01-21 14:37:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.35,1.21e-05,64.8262,4397222514.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1315.0,2023-01-21 14:38:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.415,1.211e-05,88.2843,22144514266.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1316.0,2023-01-21 14:39:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.37,1.2114999999999998e-05,58.5812,699808062.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1317.0,2023-01-21 14:40:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1652.135,1.2114999999999998e-05,601.5381,3289518351.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1318.0,2023-01-21 14:41:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1652.01,1.211e-05,60.1404,10419815812.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1319.0,2023-01-21 14:42:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1652.99,1.2125e-05,296.4213,7009741529.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1320.0,2023-01-21 14:43:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1653.245,1.2135000000000002e-05,90.0714,2167821638.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1321.0,2023-01-21 14:44:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1652.7,1.214e-05,259.3914,1887445264.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1322.0,2023-01-21 14:45:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1652.16,1.2135e-05,84.0202,4035645871.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1323.0,2023-01-21 14:46:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1653.17,1.215e-05,263.7892,4328275480.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1324.0,2023-01-21 14:47:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1653.185,1.2155e-05,184.6931,2073236029.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1325.0,2023-01-21 14:48:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.1950000000002,1.214e-05,194.6351,2904488397.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1326.0,2023-01-21 14:49:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.055,1.213e-05,185.6034,5035373146.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1327.0,2023-01-21 14:50:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.08,1.2125e-05,185.3166,2203122787.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1328.0,2023-01-21 14:51:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.315,1.2135e-05,78.6074,3735182359.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1329.0,2023-01-21 14:52:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.9,1.211e-05,150.2933,4889589056.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1330.0,2023-01-21 14:53:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.525,1.211e-05,114.0309,2767665928.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1331.0,2023-01-21 14:54:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.115,1.2105e-05,171.06,4546381002.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1332.0,2023-01-21 14:55:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.305,1.211e-05,144.9502,2851177426.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1333.0,2023-01-21 14:56:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.09,1.213e-05,224.8355,2562306604.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1334.0,2023-01-21 14:57:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.32,1.213e-05,120.5349,2959990703.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1335.0,2023-01-21 14:58:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.045,1.2125e-05,91.8892,4256938767.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1336.0,2023-01-21 14:59:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.47,1.212e-05,37.6593,574931878.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1337.0,2023-01-21 15:00:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1650.235,1.2125e-05,253.3994,2253384860.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1338.0,2023-01-21 15:01:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.3249999999998,1.2135000000000002e-05,409.0375,1727430369.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1339.0,2023-01-21 15:02:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.295,1.214e-05,89.0304,1535641199.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1340.0,2023-01-21 15:03:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1651.62,1.215e-05,370.9083,5413132746.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1341.0,2023-01-21 15:04:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1652.37,1.2155e-05,160.0753,157926192.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
