index,close_time,transaction_id,positions,XRPUSDT_units,TRXUSDT_units,entry_XRPUSDT_price,entry_TRXUSDT_price,historical_XRPUSDT_mid,historical_TRXUSDT_mid,historical_XRPUSDT_vol,historical_TRXUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,TRXUSDT_raw_pnl,XRPUSDT_cost,TRXUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2059.0,2023-01-22 03:17:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4034999999999999,0.06089,200367.0,3206184.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2060.0,2023-01-22 03:18:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4034,0.060825,80470.0,2165320.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2061.0,2023-01-22 03:19:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40335,0.060745,18194.0,4737645.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2062.0,2023-01-22 03:20:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40325,0.06076,140147.0,1521277.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2063.0,2023-01-22 03:21:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4033,0.0607,87018.0,1268943.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2064.0,2023-01-22 03:22:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40315,0.06066,43294.0,276352.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2065.0,2023-01-22 03:23:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40365,0.06068,77278.0,1487221.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2066.0,2023-01-22 03:24:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.404,0.060745,34588.0,967143.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2067.0,2023-01-22 03:25:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.404,0.06075,63195.0,232357.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2068.0,2023-01-22 03:26:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.404,0.06074,33931.0,125155.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2069.0,2023-01-22 03:27:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4042,0.060755,58923.0,89678.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2070.0,2023-01-22 03:28:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.06079,45864.0,263729.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2071.0,2023-01-22 03:29:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.0608449999999999,27268.0,235704.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2072.0,2023-01-22 03:30:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40445,0.0608999999999999,50971.0,197201.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
