index,close_time,transaction_id,positions,LINKUSDT_units,ATOMUSDT_units,entry_LINKUSDT_price,entry_ATOMUSDT_price,historical_LINKUSDT_mid,historical_ATOMUSDT_mid,historical_LINKUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LINKUSDT_raw_pnl,ATOMUSDT_raw_pnl,LINKUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1868.0,2023-01-21 23:46:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.862,13.125,1921.14,1067.49,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1869.0,2023-01-21 23:47:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.856,13.1015,3379.42,574.0,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1870.0,2023-01-21 23:48:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8525,13.0825,1749.65,3684.33,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1871.0,2023-01-21 23:49:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.859,13.087,11319.03,581.22,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1872.0,2023-01-21 23:50:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.863,13.097,1470.87,1294.35,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1873.0,2023-01-21 23:51:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.872,13.1265,738.94,438.28,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1874.0,2023-01-21 23:52:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.879,13.126,4231.81,1161.52,2.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1875.0,2023-01-21 23:53:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.863,13.0965,1682.84,753.77,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1876.0,2023-01-21 23:54:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8545,13.075,876.72,280.06,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1877.0,2023-01-21 23:55:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.864,13.092,571.15,928.65,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1878.0,2023-01-21 23:56:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.869,13.1075,465.93,366.38,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1879.0,2023-01-21 23:57:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8565000000000005,13.084,2367.31,552.22,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1880.0,2023-01-21 23:58:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8575,13.0895,773.45,342.87,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1881.0,2023-01-21 23:59:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.856999999999999,13.0875,317.2,150.76,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1882.0,2023-01-22 00:00:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8545,13.093,7358.77,2341.91,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1883.0,2023-01-22 00:01:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8515,13.1015,6002.87,1605.73,2.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1884.0,2023-01-22 00:02:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.846,13.105,5450.58,4774.78,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1885.0,2023-01-22 00:03:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8625,13.1445,3943.91,2901.74,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
